uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"a8095749-e947-43b5-8c5a-b990e4073d63","YELL_012.basePlot.vst","2019-08-13","D12","YELL","YELL_012","distributed","evergreenForest",44.944613,-110.433659,"WGS84",20.3,544679.32,4976953.63,"12N",1901.5,0.3,"vst_YELL_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"0f163647-455a-4f2b-bc07-cfab897964cc","YELL_020.basePlot.vst","2019-08-14","D12","YELL","YELL_020","distributed","evergreenForest",44.943866,-110.648504,"WGS84",20.1,527730.30,4976774.74,"12N",2111.2,0.1,"vst_YELL_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"25","noneSelected",400,200,400,,,,
"d1964ed4-22d2-4a08-a5f7-5f95e83f6ca2","YELL_006.basePlot.vst","2019-08-15","D12","YELL","YELL_006","distributed","shrubScrub",44.971091,-110.562787,"WGS84",20.0,534476.40,4979831.95,"12N",2049.7,0.1,"vst_YELL_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"3","noneSelected",400,24,400,,,,
"9f44a811-c20a-4092-9003-87bbbe0467cd","YELL_004.basePlot.vst","2019-08-19","D12","YELL","YELL_004","distributed","shrubScrub",44.962834,-110.593234,"WGS84",20.1,532080.10,4978902.21,"12N",1991.5,0.1,"vst_YELL_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH","Y","N",,"Y",,"N",,"3","noneSelected",400,24,400,,,,
"6b235b4e-b6b8-42c7-85fe-3f7303f5be6b","YELL_001.basePlot.vst","2019-08-19","D12","YELL","YELL_001","distributed","shrubScrub",44.917485,-110.410361,"WGS84",20.1,546539.23,4973953.19,"12N",1902.9,0.1,"vst_YELL_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"7760e7de-5b73-490d-bb1c-1894d442fb7c","YELL_010.basePlot.vst","2019-08-20","D12","YELL","YELL_010","distributed","shrubScrub",44.916045,-110.395165,"WGS84",20.1,547739.82,4973802.05,"12N",1912.3,0.1,"vst_YELL_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"3","noneSelected",400,24,400,,,,
"d496f8e4-c5b5-46ed-af6b-3f45b384fa61","YELL_011.basePlot.vst","2019-08-21","D12","YELL","YELL_011","distributed","shrubScrub",44.957159,-110.591380,"WGS84",20.1,532229.50,4978272.53,"12N",2017.3,0.1,"vst_YELL_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH","Y","N",,"Y",,"N",,"3","noneSelected",400,24,400,,,,
"c90d9b0b-2cb5-49a1-8ed9-bf6f9819e115","YELL_002.basePlot.vst","2019-08-22","D12","YELL","YELL_002","distributed","shrubScrub",44.932467,-110.634896,"WGS84",20.0,528809.56,4975513.21,"12N",2125.1,0.0,"vst_YELL_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH","Y","N",,"Y",,"N",,"3","noneSelected",400,24,400,,,,
"e3c338ab-9646-451b-a5b1-fe3113f37bbe","YELL_013.basePlot.vst","2019-08-22","D12","YELL","YELL_013","distributed","shrubScrub",44.972918,-110.542179,"WGS84",20.1,536100.29,4980043.88,"12N",2031.5,0.1,"vst_YELL_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH","Y","N",,"Y",,"N",,"3","noneSelected",400,24,400,,,,
"6e0fb0b4-854b-4699-b5f8-b5f5768eccde","YELL_003.basePlot.vst","2019-08-26","D12","YELL","YELL_003","distributed","shrubScrub",44.954777,-110.533202,"WGS84",20.1,536819.75,4978032.69,"12N",2120.8,0.1,"vst_YELL_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH","Y","N",,"Y",,"N",,"3","noneSelected",400,24,400,,,,
