uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"1a7c99c6-de92-4d8e-906e-dc56fd216f04","YELL_014.basePlot.vst","2018-09-18","D12","YELL","YELL_014","distributed","shrubScrub",44.966980,-110.618703,"WGS84",20.1,530069.29,4979353.02,"12N",2240.7,0.1,"vst_YELL_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"Y",,"N",,"3","noneSelected",400,24,400,,,,
"f269e6c0-935d-4c51-894c-0fd999a6d61c","YELL_008.basePlot.vst","2018-09-18","D12","YELL","YELL_008","distributed","shrubScrub",44.959683,-110.613808,"WGS84",20.1,530459.18,4978544.24,"12N",2200.2,0.2,"vst_YELL_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"Y",,"N",,"25","noneSelected",400,200,400,,,,
"f691ca7f-37d2-4613-8c22-d4bef13bb6b7","YELL_001.basePlot.vst","2018-09-19","D12","YELL","YELL_001","distributed","shrubScrub",44.917485,-110.410361,"WGS84",20.1,546539.23,4973953.19,"12N",1902.9,0.1,"vst_YELL_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"2ed9b0b4-b36c-4c55-b0fc-6db009d9ad35","YELL_004.basePlot.vst","2018-09-24","D12","YELL","YELL_004","distributed","shrubScrub",44.962834,-110.593234,"WGS84",20.1,532080.10,4978902.21,"12N",1991.5,0.1,"vst_YELL_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"Y",,"N",,"3","noneSelected",400,24,400,,,,
"ac319992-a6a5-43db-bdd0-0db72ae95454","YELL_011.basePlot.vst","2018-09-24","D12","YELL","YELL_011","distributed","shrubScrub",44.957159,-110.591380,"WGS84",20.1,532229.50,4978272.53,"12N",2017.3,0.1,"vst_YELL_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"Y",,"N",,"3","noneSelected",400,24,400,,,,
