uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"eec42e82-c2ff-4ea7-a35b-6e6c87263a98","LAJA_015.basePlot.vst","2019-12-16","vst_LAJA_2019","D04","LAJA","LAJA_015",,"NEON.PLA.D04.LAJA.08998",,"ok","small tree","Live",4.5,130,,4.5,,,,,,,,,,,,,,,,,,,,,"0000-0001-5314-0662","0000-0002-9129-5419",
"50c4b6a3-a617-4cad-8c40-f9832fcd3a55","LAJA_015.basePlot.vst","2019-12-16","vst_LAJA_2019","D04","LAJA","LAJA_015",,"NEON.PLA.D04.LAJA.08241",,"ok",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-5314-0662","0000-0002-9129-5419",
"6b900ef0-874c-4040-9f23-eafc8fc14701","LAJA_015.basePlot.vst","2019-12-16","vst_LAJA_2019","D04","LAJA","LAJA_015",,"NEON.PLA.D04.LAJA.05429",,"ok","small tree","Live",8.2,130,,3.5,,,,,,,,,,,,,,,,,,,,,"0000-0003-2386-8235","0000-0002-9129-5419",
"6e008e2a-b805-4a4e-a42e-1f664f39e0fd","LAJA_015.basePlot.vst","2019-12-16","vst_LAJA_2019","D04","LAJA","LAJA_015",,"NEON.PLA.D04.LAJA.08287",,"ok","small shrub","Live",,,,2.2,,,,2.3,2.1,,"inverted cone",2.3,10,0.20,0.18,,,,,,,,,,"0000-0003-2386-8235","0000-0002-9129-5419",
"d0da1d1a-1e58-4c9e-84e4-3d45daf2da25","LAJA_015.basePlot.vst","2019-12-16","vst_LAJA_2019","D04","LAJA","LAJA_015",,"NEON.PLA.D04.LAJA.08244A",,"ok","multi-bole tree","Live",24.8,180,,11.3,,,,11.7,10.2,"Open grown",,,,,,,,,,,,,,,"0000-0001-5314-0662","0000-0002-9129-5419",
"dd08c78a-ce69-4118-9b7b-66ea7745f3b0","LAJA_015.basePlot.vst","2019-12-16","vst_LAJA_2019","D04","LAJA","LAJA_015",,"NEON.PLA.D04.LAJA.08527",,"ok","small tree","Live",1.1,130,,3.1,,,,,,,,,,,,,,,,,,,,,"0000-0003-2386-8235","0000-0002-9129-5419",
"d26a8b49-df9e-4200-9715-9e0a86330a05","LAJA_015.basePlot.vst","2019-12-16","vst_LAJA_2019","D04","LAJA","LAJA_015",,"NEON.PLA.D04.LAJA.08526",,"ok","small tree","Live",5.5,130,,3.1,,,,,,,,,,,,,,,,,,,,,"0000-0003-2386-8235","0000-0002-9129-5419",
"3e160f21-fffa-46ce-ba28-c6ae05d36c5a","LAJA_015.basePlot.vst","2019-12-16","vst_LAJA_2019","D04","LAJA","LAJA_015",,"NEON.PLA.D04.LAJA.08475",,"ok",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-5314-0662","0000-0002-9129-5419",
"aaa2cb81-421d-4776-93cf-fc136cdfe0c4","LAJA_015.basePlot.vst","2019-12-16","vst_LAJA_2019","D04","LAJA","LAJA_015",,"NEON.PLA.D04.LAJA.05307",,"ok","sapling","Live",,,,1.6,,,,,,,,1.5,10,,,,,,,,,,,,"0000-0003-2386-8235","0000-0002-9129-5419",
"96e9d274-f072-4068-9a16-24c1e2d733ea","LAJA_015.basePlot.vst","2019-12-16","vst_LAJA_2019","D04","LAJA","LAJA_015",,"NEON.PLA.D04.LAJA.08287",,"ok","small shrub","Live",,,,2.2,,,,2.3,2.1,,"inverted cone",2.3,10,0.20,0.18,,,,,,,,,,"0000-0003-2386-8235","0000-0002-9129-5419",
"38a45f74-d357-4b4a-a78f-c892e33d4aa4","LAJA_015.basePlot.vst","2019-12-16","vst_LAJA_2019","D04","LAJA","LAJA_015",,"NEON.PLA.D04.LAJA.08246",,"ok","small tree","Live",2.8,130,,4.5,,,,,,,,,,,,,,,,,,,,,"0000-0001-5314-0662","0000-0002-9129-5419",
