uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"0108d038-3fbd-4f74-a79f-7e5eb7cf0e29","KONZ_053.basePlot.vst","2018-11-08","D06","KONZ","KONZ_053","tower","grasslandHerbaceous",39.098231,-96.566196,"WGS84",10.2,710468.73,4330497.52,"14N",384.9,0.2,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"Y",,"10","noneSelected",400,80,400,,,,
"0dc72994-068c-4105-9d9b-8aa639de0464","KONZ_064.basePlot.vst","2018-11-08","D06","KONZ","KONZ_064","tower","shrubScrub",39.098508,-96.565487,"WGS84",10.2,710529.23,4330529.90,"14N",386.3,0.3,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"Y",,"10","noneSelected",400,80,400,,,,
"99610aca-f40a-4120-94e4-6f0444b41304","KONZ_054.basePlot.vst","2018-11-08","D06","KONZ","KONZ_054","tower","grasslandHerbaceous",39.098417,-96.562342,"WGS84",10.2,710801.50,4330527.10,"14N",403.5,0.5,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"Y",,"25","noneSelected",400,200,400,,,,
"9cfe73d6-cb28-4637-8209-8c1ee632a5e9","KONZ_069.basePlot.vst","2018-11-08","D06","KONZ","KONZ_069","tower","grasslandHerbaceous",39.102726,-96.561164,"WGS84",10.2,710890.54,4331008.11,"14N",390.7,0.2,"vst_KONZ_2016",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"Y",,"10","noneSelected",400,80,400,,,,
"9d5a736e-1be3-4d88-a659-44c62e0f6af1","KONZ_061.basePlot.vst","2018-11-16","D06","KONZ","KONZ_061","tower","deciduousForest",39.101908,-96.560495,"WGS84",10.3,710950.83,4330918.87,"14N",398.7,0.3,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"Y",,"noneSelected","noneSelected",400,400,400,,,,
