uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"fd7de4dd-80b1-4af2-b0b8-661c3218ef71","TREE_040.basePlot.vst","2018-08-27","D05","TREE","TREE_040","tower","mixedForest",45.495318,-89.585717,"WGS84",20.2,297970.56,5041228.70,"16N",458.3,0.2,"vst_TREE_2018",,,"23 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"25","noneSelected",800,100,800,,,,
"332f87f2-9db7-4048-b31b-449ff7e7f18c","TREE_025.basePlot.vst","2018-08-27","D05","TREE","TREE_025","tower","mixedForest",45.494325,-89.582220,"WGS84",20.2,298240.24,5041109.59,"16N",462.1,0.2,"vst_TREE_2018",,,"21 | 23","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"25","noneSelected",800,100,800,,,,
"8573c2b2-75fe-4496-9720-029509dcfe8d","TREE_042.basePlot.vst","2018-08-27","D05","TREE","TREE_042","tower","deciduousForest",45.495221,-89.591099,"WGS84",20.3,297549.70,5041231.48,"16N",465.5,0.3,"vst_TREE_2018",,,"23 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"noneSelected","noneSelected",800,800,800,,,,
"32ef8c1f-4caa-4b46-82cc-555a3e65ef61","TREE_039.basePlot.vst","2018-08-27","D05","TREE","TREE_039","tower","mixedForest",45.493221,-89.582576,"WGS84",20.2,298208.48,5040987.83,"16N",463.2,0.3,"vst_TREE_2018",,,"23 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"100","noneSelected",800,400,800,,,,
"5dec14cb-3172-4170-88c7-79192936f30c","TREE_041.basePlot.vst","2018-08-27","D05","TREE","TREE_041","tower","deciduousForest",45.494189,-89.587995,"WGS84",20.2,297788.53,5041109.01,"16N",464.8,0.2,"vst_TREE_2018",,,"21 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"100","noneSelected",800,400,800,,,,
"aa5a9a40-3cd7-4aaf-ae06-b0fe8ad377b9","TREE_047.basePlot.vst","2018-08-28","D05","TREE","TREE_047","tower","deciduousForest",45.495261,-89.587990,"WGS84",20.3,297792.76,5041228.09,"16N",460.1,0.3,"vst_TREE_2018",,,"39 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"17d0ac8a-9f18-4e12-a749-66462fb50e6c","TREE_057.basePlot.vst","2018-08-29","D05","TREE","TREE_057","tower","mixedForest",45.492749,-89.580230,"WGS84",20.1,298390.09,5040929.50,"16N",464.5,0.2,"vst_TREE_2018",,,"23 | 39","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"25","noneSelected",800,100,800,,,,
"cefd7256-8f2a-43d0-87e8-5bfc0102a304","TREE_051.basePlot.vst","2018-08-29","D05","TREE","TREE_051","tower","deciduousForest",45.493514,-89.593697,"WGS84",20.1,297340.59,5041048.39,"16N",462.6,0.2,"vst_TREE_2018",,,"39 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"100","noneSelected",800,400,800,,,,
"3cb7a52e-1e1a-4cce-b413-54dc9e722232","TREE_050.basePlot.vst","2018-08-29","D05","TREE","TREE_050","tower","evergreenForest",45.490090,-89.590096,"WGS84",20.2,297609.68,5040658.92,"16N",465.6,0.2,"vst_TREE_2018",,,"39 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"addc2b22-4080-42f0-8cec-3ad89768e00d","TREE_045.basePlot.vst","2018-08-29","D05","TREE","TREE_045","tower","mixedForest",45.495102,-89.583402,"WGS84",20.2,298150.66,5041198.88,"16N",460.2,0.2,"vst_TREE_2018",,,"23 | 39","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"25","noneSelected",800,100,800,,,,
"69461f51-9080-4736-8690-98e39f7f8f95","TREE_054.basePlot.vst","2018-08-29","D05","TREE","TREE_054","tower","mixedForest",45.490570,-89.593198,"WGS84",20.3,297369.01,5040720.07,"16N",463.1,0.3,"vst_TREE_2018",,,"21 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"bcdd9428-9d94-4804-9d07-8cff726a9758","TREE_055.basePlot.vst","2018-08-29","D05","TREE","TREE_055","tower","deciduousForest",45.491890,-89.594035,"WGS84",20.2,297308.35,5040868.83,"16N",463.2,0.4,"vst_TREE_2018",,,"39 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"noneSelected","noneSelected",800,800,800,,,,
