uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"6725e300-59b6-43ca-ac7e-89adf480c4bc","MLBS_014.basePlot.vst","2018-10-02","D07","MLBS","MLBS_014","distributed","deciduousForest",37.417102,-80.557337,"WGS84",20.2,539170.33,4141236.42,"17N",784.4,0.2,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"3","noneSelected",400,24,400,,,,
"bec94acd-c119-4f6f-bf6f-323dfff3a89e","MLBS_015.basePlot.vst","2018-10-02","D07","MLBS","MLBS_015","distributed","deciduousForest",37.414692,-80.568195,"WGS84",20.1,538210.75,4140964.60,"17N",786.3,0.2,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"313fa813-f062-41d4-ba1d-8976a2c3f70f","MLBS_001.basePlot.vst","2018-10-03","D07","MLBS","MLBS_001","distributed","deciduousForest",37.360700,-80.524992,"WGS84",20.2,542063.99,4134993.03,"17N",1310.9,0.2,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"4f2fd516-02e1-47fc-a0d5-0ab44aa7a76c","MLBS_011.basePlot.vst","2018-10-03","D07","MLBS","MLBS_011","distributed","deciduousForest",37.359448,-80.521143,"WGS84",20.1,542405.54,4134855.85,"17N",1286.3,0.2,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"25","noneSelected",400,200,400,,,,
"7d0a7ccc-186e-406e-835e-37e91e161b18","MLBS_017.basePlot.vst","2018-10-03","D07","MLBS","MLBS_017","distributed","deciduousForest",37.358817,-80.526049,"WGS84",20.1,541971.44,4134783.65,"17N",1318.1,0.1,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"35bed4e2-87c0-469c-833e-d722e3e14913","MLBS_012.basePlot.vst","2018-10-04","D07","MLBS","MLBS_012","distributed","deciduousForest",37.357284,-80.522508,"WGS84",20.1,542285.88,4134615.16,"17N",1284.3,0.2,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"517a99f9-7291-4641-82a4-82dfd0fbba37","MLBS_002.basePlot.vst","2018-10-04","D07","MLBS","MLBS_002","distributed","deciduousForest",37.372058,-80.524252,"WGS84",20.2,542123.17,4136253.43,"17N",1178.5,0.3,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"25","noneSelected",400,200,400,,,,
"199ce10f-0046-45ac-a75d-a62cde476f51","MLBS_064.basePlot.vst","2018-10-15","D07","MLBS","MLBS_064","tower","deciduousForest",37.375562,-80.520174,"WGS84",20.3,542482.27,4136643.99,"17N",1177.3,0.3,"vst_MLBS_2018",,,"21 | 41","NEON.DOC.000987vG",,"Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,,,
"0216f97c-f04f-4a1f-83b3-73cc9bcccad8","MLBS_018.basePlot.vst","2018-10-16","D07","MLBS","MLBS_018","distributed","deciduousForest",37.426259,-80.489231,"WGS84",20.3,545191.43,4142282.79,"17N",975.8,0.6,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"53bcb61d-3adf-461e-9720-02353767cee6","MLBS_008.basePlot.vst","2018-10-16","D07","MLBS","MLBS_008","distributed","deciduousForest",37.426865,-80.499069,"WGS84",20.2,544320.63,4142345.35,"17N",939.0,0.3,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"N",,"N",,"noneSelected","noneSelected",400,400,400,,,,
