uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"25ce434a-34ad-4130-9cb2-ecbaa6e61754","DEJU_001.basePlot.vst","2019-09-05","D19","DEJU","DEJU_001","distributed","shrubScrub",63.892440,-145.769965,"WGS84",20.1,560392.00,7085610.69,"6N",494.9,0.1,"vst_DEJU_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y",,"Y",,"N",,"10","noneSelected",400,80,,,,,
"44d3e8d0-e9a7-4a8c-88a8-fad6f44cd295","DEJU_014.basePlot.vst","2019-09-09","D19","DEJU","DEJU_014","distributed","evergreenForest",63.831139,-145.747612,"WGS84",20.2,561623.42,7078802.23,"6N",544.3,0.2,"vst_DEJU_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"13170009-541f-4923-bfbd-fcdfd9f5ce2a","DEJU_006.basePlot.vst","2019-09-09","D19","DEJU","DEJU_006","distributed","evergreenForest",63.835171,-145.748058,"WGS84",20.1,561592.67,7079251.02,"6N",544.8,0.1,"vst_DEJU_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"25","noneSelected",400,200,400,,,,
"6698dd6e-6f83-41c0-84db-66c087230038","DEJU_018.basePlot.vst","2019-09-11","D19","DEJU","DEJU_018","distributed","evergreenForest",63.837932,-145.755235,"WGS84",20.1,561233.61,7079551.73,"6N",553.0,0.1,"vst_DEJU_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"de90cd0c-2944-4ffe-ab26-f60113fef9ce","DEJU_009.basePlot.vst","2019-09-11","D19","DEJU","DEJU_009","distributed","evergreenForest",63.853315,-145.760668,"WGS84",20.1,560933.09,7081260.42,"6N",567.4,0.1,"vst_DEJU_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"0dcd7379-6e15-4b1c-b28f-2cf8ff7c1c0d","DEJU_020.basePlot.vst","2019-09-11","D19","DEJU","DEJU_020","distributed","woodyWetlands",63.845012,-145.733569,"WGS84",20.1,562283.66,7080361.50,"6N",534.6,0.1,"vst_DEJU_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"35676c6c-beac-45af-877b-4b55d16e0095","DEJU_016.basePlot.vst","2019-09-16","D19","DEJU","DEJU_016","distributed","evergreenForest",63.857875,-145.759874,"WGS84",20.2,560962.25,7081769.23,"6N",574.4,0.2,"vst_DEJU_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y",,"Y",,"N",,"1","noneSelected",400,8,400,,,,
"627fa558-a3f1-4b88-9ba1-a78532b40d3c","DEJU_007.basePlot.vst","2019-09-17","D19","DEJU","DEJU_007","distributed","shrubScrub",63.866754,-145.726499,"WGS84",20.1,562582.99,7082790.78,"6N",534.5,0.1,"vst_DEJU_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","N",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"083a6e41-baa4-4d5f-ab71-1452314a2c1b","DEJU_017.basePlot.vst","2019-09-17","D19","DEJU","DEJU_017","distributed","evergreenForest",63.883388,-145.780721,"WGS84",20.1,559883.23,7084592.02,"6N",513.9,0.1,"vst_DEJU_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"e03e7354-3aec-43de-a62f-6cadf8c224d0","DEJU_021.basePlot.vst","2019-09-17","D19","DEJU","DEJU_021","distributed","evergreenForest",63.860681,-145.742041,"WGS84",20.2,561832.64,7082099.01,"6N",551.6,0.2,"vst_DEJU_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y","presentInAll","Y","presentInAll","N",,"10","noneSelected",400,80,400,,,,
"a2dd3b26-c4b0-43e1-a884-b9f9f98ae778","DEJU_005.basePlot.vst","2019-09-18","D19","DEJU","DEJU_005","distributed","shrubScrub",63.896876,-145.753860,"WGS84",20.1,561172.99,7086120.27,"6N",484.2,0.1,"vst_DEJU_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"60c82c96-82f9-4fb4-a70b-387207021016","DEJU_024.basePlot.vst","2019-09-18","D19","DEJU","DEJU_024","distributed","evergreenForest",63.887095,-145.774470,"WGS84",20.1,560182.28,7085010.92,"6N",504.9,0.1,"vst_DEJU_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
