"","x"
"1","ARNO_01"
"2","ARNO_02"
"3","ARNO_03"
"4","ARNO_04"
"5","ARNO_05"
"6","ARNO_06"
"7","ARNO_11"
"8","ARNO_12"
"9","ARNO_35"
"10","ARNO_36"
"11","BART_33"
"12","BART_34"
"13","BART_36"
"14","BART_37"
"15","BART_39"
"16","BART_40"
"17","BART_41"
"18","BART_44"
"19","BART_46"
"20","BART_47"
"21","BART_50"
"22","BART_51"
"23","BART_72"
"24","BART_73"
"25","BART_74"
"26","FERN_13upslope1"
"27","FERN_13upslope2"
"28","FERN_13upslope3"
"29","FERN_13upslope4"
"30","FERN_W15"
"31","FERN_W4_03C"
"32","FERN_W4_04"
"33","FERN_W4_10A"
"34","FERN_W4_11A"
"35","FERN_W7_06"
"36","FERN_W7_08"
"37","FERN_W7_10"
"38","FERN_W7_13C"
"39","FERN_W7_15"
"40","GRSM_50"
"41","GRSM_53"
"42","GRSM_55"
"43","GRSM_57"
"44","GRSM_58"
"45","GRSM_60"
"46","GRSM_61"
"47","GRSM_64"
"48","GRSM_65"
"49","GRSM_66"
"50","HARV_33"
"51","HARV_34"
"52","HARV_35"
"53","HARV_36"
"54","HARV_37"
"55","HARV_38"
"56","HARV_39"
"57","HARV_40"
"58","HARV_41"
"59","HARV_42"
"60","HARV_43"
"61","HARV_44"
"62","HARV_45"
"63","HARV_47"
"64","HARV_48"
"65","HARV_49"
"66","HARV_50"
"67","HARV_51"
"68","HARV_52"
"69","HARV_TLSRCNBucket"
"70","HARV_TLSRCNMainPlot"
"71","HBEF_BL13"
"72","HBEF_BL5"
"73","HBEF_BL9"
"74","HBEF_ise_2015_p01"
"75","HBEF_ise_2015_p02"
"76","HBEF_ise_2015_p03"
"77","HBEF_ise_2015_p04"
"78","HBEF_ise_2015_p05"
"79","HBEF_ise_2015_p06"
"80","HBEF_ise_2015_p07"
"81","HBEF_ise_2015_p08"
"82","HBEF_ise_2015_p09"
"83","HBEF_ise_2015_p10"
"84","HMC_7088"
"85","HMC_7090"
"86","HMC_7091"
"87","HMC_7092"
"88","HMC_7093"
"89","HMC_7094"
"90","HMC_7095"
"91","HMC_7096"
"92","HMC_7097"
"93","HMC_7099"
"94","HMC_7100"
"95","HMC_7101"
"96","HMC_7102"
"97","HMC_7104"
"98","HMC_7105"
"99","HMC_7106"
"100","HMC_H1"
"101","HMC_H20013e"
"102","HMC_H20013s"
"103","HMC_H20014e"
"104","HMC_H20014s"
"105","HMC_H3"
"106","HMC_H6"
"107","HMC_Hemlock_00"
"108","HMC_Hemlock_02"
"109","HMC_Hemlock_04"
"110","HMC_Hemlock_06"
"111","HMC_Hemlock_08"
"112","HMC_Hemlock_10"
"113","HMC_Hemlock_12"
"114","HMC_Hemlock_14"
"115","HMC_Hemlock_16"
"116","HMC_Hemlock_18"
"117","HMC_Hemlock_20"
"118","HMC_Hemlock_22"
"119","HMC_Hemlock_24"
"120","HMC_Hemlock_26"
"121","HMC_Hemlock_28"
"122","HMC_Hemlock_30"
"123","HMC_Hemlock_32"
"124","HMC_Hemlock_34"
"125","HMC_Hemlock_36"
"126","HMC_Hemlock_38"
"127","HMC_Hemlock_40"
"128","HMC_Hemlock_42"
"129","HMC_Hemlock_44"
"130","HMC_Hemlock_46"
"131","HMC_Hemlock_48"
"132","HMC_Hemlock_50"
"133","HMC_Sugarmaple_00"
"134","HMC_Sugarmaple_02"
"135","HMC_Sugarmaple_04"
"136","HMC_Sugarmaple_06"
"137","HMC_Sugarmaple_08"
"138","HMC_Sugarmaple_10"
"139","HMC_Sugarmaple_12"
"140","HMC_Sugarmaple_14"
"141","HMC_Sugarmaple_16"
"142","HMC_Sugarmaple_18"
"143","HMC_Sugarmaple_20"
"144","HMC_Sugarmaple_22"
"145","HMC_Sugarmaple_24"
"146","HMC_Sugarmaple_26"
"147","HMC_Sugarmaple_28"
"148","HMC_Sugarmaple_30"
"149","HMC_Sugarmaple_32"
"150","HMC_Sugarmaple_34"
"151","HMC_Sugarmaple_36"
"152","HMC_Sugarmaple_38"
"153","HMC_Sugarmaple_40"
"154","HMC_Sugarmaple_42"
"155","HMC_Sugarmaple_44"
"156","HMC_Sugarmaple_46"
"157","HMC_Sugarmaple_48"
"158","HMC_Sugarmaple_50"
"159","IP_CP1"
"160","IP_CP2"
"161","IP_CP3"
"162","IP_CP9235"
"163","IP_CP9237"
"164","IP_CP9238"
"165","IP_CP9240"
"166","IP_CP9241"
"167","IP_CP9271"
"168","IP_CP9274"
"169","IP_CP9329"
"170","IP_CP9333"
"171","IP_CP9427"
"172","IP_CP9428"
"173","IP_CP9452"
"174","IP_CP9453"
"175","IP_CP9454"
"176","MLBS_60"
"177","MLBS_62"
"178","MLBS_64"
"179","MLBS_65"
"180","MLBS_69"
"181","MLBS_71"
"182","MLBS_72"
"183","MLBS_74"
"184","MLBS_75"
"185","MLBS_76"
"186","OSBS_25"
"187","OSBS_26"
"188","OSBS_27"
"189","OSBS_29"
"190","OSBS_30"
"191","OSBS_31"
"192","OSBS_32"
"193","OSBS_33"
"194","OSBS_34"
"195","OSBS_35"
"196","OSBS_36"
"197","OSBS_37"
"198","OSBS_38"
"199","OSBS_39"
"200","OSBS_40"
"201","OSBS_41"
"202","OSBS_42"
"203","OSBS_43"
"204","OSBS_44"
"205","OSBS_CSV"
"206","OSBS_D1"
"207","OSBS_D4"
"208","OSBS_D5"
"209","OSBS_D8"
"210","RICE_C1"
"211","RICE_C2"
"212","SCBI_46"
"213","SCBI_47"
"214","SCBI_49"
"215","SCBI_55"
"216","SCBI_63"
"217","SCBI_66"
"218","SERC_43"
"219","SERC_47"
"220","SERC_48"
"221","SERC_49"
"222","SERC_52"
"223","SERC_53"
"224","SERC_54"
"225","SERC_55"
"226","SERC_56"
"227","SERC_57"
"228","SERC_58"
"229","SERC_60"
"230","SERC_61"
"231","TALL_45"
"232","TALL_46"
"233","TALL_47"
"234","TALL_49"
"235","TALL_50"
"236","TALL_51"
"237","TALL_53"
"238","TALL_55"
"239","TALL_58"
"240","TALL_59"
"241","TALL_60"
"242","TALL_61"
"243","TREE_25"
"244","TREE_39"
"245","TREE_41"
"246","TREE_42"
"247","TREE_45"
"248","TREE_46"
"249","TREE_47"
"250","TREE_49"
"251","TREE_53"
"252","TREE_56"
"253","UMBS_ac103"
"254","UMBS_AC103"
