,taxonID,Scientific.Name.with.Author,Common.Name,Genus,Family,pft,jenkins_model
999,2PLANT,,,,,DBF,mixed hardwood
,2PLANT-H,,,,,DBF,mixed hardwood
1,ABBA,Abies balsamea (L.) Mill.,balsam fir,Abies,Pinaceae,ENF,fir/hemlock
,ABIES,Abies M.,fir,Abies,Pinaceae,ENF,fir/hemlock
5,ACBA2,Acer barbatum Michx. p.p.,southern sugar maple,Acer,Aceraceae,DBF,soft maple/birch
,ACBA3,Acer barbatum Michx. p.p.,southern sugar maple,Acer,Aceraceae,DBF,soft maple/birch
,ACCI,Acer circinatum ,vine maple,Acer,Aceraceae,DBF,soft maple/birch
2,ACER,Acer L.,maple,Acer,Aceraceae,DBF,soft maple/birch
,ACFA,Acacia farnesiana,sweet acacia,Acacia,Fabaceae,DBF,mixed hardwood
,ACMA3,Acer macrophyllum,bigleaf maple,Acer,Aceraceae,DBF,soft maple/birch
3,ACNE2,Acer negundo L.,boxelder,Acer,Aceraceae,DBF,soft maple/birch
,ACNEN,Acer negundo,boxelder,Acer,Aceraceae,DBF,soft maple/birch
4,ACPE,Acer pensylvanicum L.,striped maple,Acer,Aceraceae,DBF,soft maple/birch
6,ACRU,Acer rubrum L.,red maple,Acer,Aceraceae,DBF,soft maple/birch
9,ACRUR,Acer rubrum L. var. rubrum,red maple,Acer,Aceraceae,DBF,soft maple/birch
14,ACSA2,Acer saccharinum L.,silver maple,Acer,Aceraceae,DBF,soft maple/birch
16,ACSA3,Acer saccharum Marshall,sugar maple,Acer,Aceraceae,DBF,hard maple/oak/hickory/beech
17,ACSAS,Acer saccharum ,sugar maple,Acer,Aceraceae,DBF,hard maple/oak/hickory/beech
23,ACSP2,Acer spicatum Lam.,mountain maple,Acer,Aceraceae,DBF,soft maple/birch
26,AEFL,Aesculus flava Aiton,yellow buckeye,Aesculus,Hippocastanaceae,DBF,mixed hardwood
28,AEPA,Aesculus pavia L.,red buckeye,Aesculus,Hippocastanaceae,DBF,mixed hardwood
,AIAL,ailanthus altissima,,Ailanthus,Simaroubaceae,DBF,mixed hardwood
34,ALINR,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder,Alnus,Betulaceae,DBF,aspen/alder/cottonwood/willow
,ALNUS,Alnus mill.,alder,Anlus,Betulaceae,DBF,aspen/alder/cottonwood/willow
,ALRU2,Alnus rubra,red alder,Anlus,Betulaceae,DBF,aspen/alder/cottonwood/willow
36,AMAR3,Amelanchier arborea (Michx. f.) Fernald,common serviceberry,Amelanchier,Rosaceae,DBF,woodland
37,AMELA,Amelanchier Medik.,serviceberry,Amelanchier,Rosaceae,DBF,woodland
39,AMLA,Amelanchier laevis Wiegand,Allegheny serviceberry,Amelanchier,Rosaceae,DBF,woodland
44,AMSA,Amelanchier sanguinea (Pursh) DC.,roundleaf serviceberry,Amelanchier,Rosaceae,DBF,woodland
45,ARSP2,Aralia spinosa L.,devil's walkingstick,Aralia,Araliaceae,DBF,mixed hardwood
,ASIMI,Asimina Adans.,pawpaw,Asimina,Annonaceae,DBF,mixed hardwood
47,ASIN12,Asimina incana (W. Bartram) Exell,woolly pawpaw,Asimina,Annonaceae,DBF,mixed hardwood
49,ASTR,Asimina triloba (L.) Dunal,pawpaw,Asimina,Annonaceae,DBF,mixed hardwood
51,BEAL2,Betula alleghaniensis Britton,yellow birch,Betula,Betulaceae,DBF,soft maple/birch
52,BELE,Betula lenta L.,sweet birch,Betula,Betulaceae,DBF,soft maple/birch
53,BENI,Betula nigra L.,river birch,Betula,Betulaceae,DBF,soft maple/birch
54,BEPA,Betula papyrifera Marshall,paper birch,Betula,Betulaceae,DBF,soft maple/birch
56,BEPAC2,Betula papyrifera Marshall var. cordifolia (Regel) Fernald,mountain paper birch,Betula,Betulaceae,DBF,soft maple/birch
61,BEPAP,Betula papyrifera Marshall var. papyrifera,paper birch,Betula,Betulaceae,DBF,soft maple/birch
65,BEPO,Betula populifolia Marshall,gray birch,Betula,Betulaceae,DBF,soft maple/birch
69,BETUL,Betula L.,birch,Betula,Betulaceae,DBF,soft maple/birch
,BOSU2,Bourreria succulenta Jacq.,bodywood,Bourreria,Boraginaceae,DBF,mixed hardwood
,BOURR,Bourreria P. Br.,strongbark,Bourreria,Boraginaceae,DBF,mixed hardwood
,BUBU,Bucida buceras L.,gregorywood,Bucida,Combretaceae,DBF,mixed hardwood
,BUGL,Bunchosia glandulosa,café forastero,Bunchosia,Malpighiaceae,DBF,mixed hardwood
,BUSI,Bursera simaruba Sarg.,gumbo limbo,Bursera,Burseraceae,DBF,woodland
73,CAAM2,Callicarpa americana L.,American beautyberry,Callicarpa,Verbenaceae,DBF,woodland
77,CAAQ2,Carya aquatica (Michx. f.) Nutt.,water hickory,Carya,Juglandaceae,DBF,hard maple/oak/hickory/beech
79,CACA18,Carpinus caroliniana Walter,American hornbeam,Carpinus,Betulaceae,DBF,mixed hardwood
80,CACO15,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory,Carya,Juglandaceae,DBF,hard maple/oak/hickory/beech
84,CADE12,Castanea dentata (Marshall) Borkh.,American chestnut,Castanea,Fagaceae,DBF,mixed hardwood
85,CAFL22,Calycanthus floridus L.,eastern sweetshrub,Calycanthus,Calycanthaceae,DBF,woodland
89,CAGL8,Carya glabra (Mill.) Sweet,pignut hickory,Carya,Juglandaceae,DBF,hard maple/oak/hickory/beech
,CAIL2,Carya illinoinensis K. Koch,pecan,Carya,Juglandaceae,DBF,hard maple/oak/hickory/beech
103,CAOV2,Carya ovata (Mill.) K. Koch,shagbark hickory,Carya,Juglandaceae,DBF,hard maple/oak/hickory/beech
111,CAOV3,Carya ovalis (Wangenh.) Sarg.,red hickory,Carya,Juglandaceae,DBF,hard maple/oak/hickory/beech
118,CAPA24,Carya pallida (Ashe) Engl. & Graebn.,sand hickory,Carya,Juglandaceae,DBF,hard maple/oak/hickory/beech
122,CARYA,Carya Nutt.,hybrid hickory,Carya,Juglandaceae,DBF,hard maple/oak/hickory/beech
,CASTA,Castanea Mill.,chestnut ,Castanea,Fagaceae,DBF,mixed hardwood
