"","siteID","plotID","moch","pft","can_max_ht","rugosity","top_rugosity","enl","fhd","gini","rumple","transect_length"
"1","ARNO","ARNO_01",20.91895,"MF",32.303,37.0774478324256,8.21141177140004,27.0130482058717,3.22002555676183,1.69238948847482,6.65,40
"2","ARNO","ARNO_01",23.7486,"MF",32.401,32.4270191807242,8.89386742274323,22.0568687105078,3.03998655208207,1.36785733427305,7.35,40
"3","ARNO","ARNO_01",15.52752,"DBF",31.303,17.4488032167517,8.72662037638108,18.2563829787234,2.90630497459003,1.27977722959535,7.98,50
"4","ARNO","ARNO_01",19.7532285714286,"DBF",34.928,29.3082646440243,7.94874470478078,23.2438040345821,3.03664103146581,1.31765857545421,5.04285714285714,70
"5","ARNO","ARNO_01",24.42765,"DBF",32.703,14.955600851619,5.55640170664802,20.7900262467192,3.03820325123173,1.50936649181788,5.5,40
"6","ARNO","ARNO_01",15.54685,"DBF",29.266,28.764606843053,9.5801843233432,16.6049157942649,2.6637487884468,1.2140878360064,6.35,40
"7","ARNO","ARNO_01",10.1798,"DBF",14.413,3.8706162618983,3.95447239913943,10.3128834355828,2.05058350550225,1.40265691962521,3.9,10
"8","ARNO","ARNO_02",20.766925,"DBF",29.443,19.5648824301916,6.50588772155751,21.8333333333333,3.05006376730046,1.49429923364305,5.475,40
"9","ARNO","ARNO_02",25.4796,"DBF",31.452,30.5015739495799,6.41680372867269,20.5170680628272,2.92332725635145,1.5703054625164,4.25,40
"10","ARNO","ARNO_02",19.552075,"DBF",30.054,18.267305238077,6.63845681553075,24.0474055092889,3.05045075236233,1.50476159373257,5.325,40
"11","ARNO","ARNO_02",18.22385,"DBF",31.7,15.365327316323,9.1150503312393,26.0420594633793,3.21856452384998,1.53575531284759,7.75,40
"12","ARNO","ARNO_02",23.0282,"DBF",32.881,23.8982196701961,8.06142156198272,27.6421093447073,3.18683999028065,1.3207714647453,7.275,40
"13","ARNO","ARNO_03",9.6528,"DBF",23.743,8.02860206843069,6.2240309685473,10.7897362794013,2.35799804792605,1.35709947406675,6.15,40
"14","ARNO","ARNO_03",9.08065,"DBF",21.772,12.5460785953674,5.54465808776848,11.089312295326,2.40384002041648,1.36100473094682,5.95,40
"15","ARNO","ARNO_03",7.9146,"DBF",21.294,6.09758911664701,5.25605161255539,10.9695841092489,2.55030698836245,1.44162359205583,3.425,40
"16","ARNO","ARNO_03",8.6316,"DBF",25.012,13.4554575613914,5.70037857402291,12.6799531066823,2.61411599148223,1.50117292871835,4.225,40
"17","ARNO","ARNO_03",6.80435,"DBF",11.051,2.1623772345188,2.12285654853102,5.97579250720461,1.92348972124743,1.69638904597227,2.925,40
"18","ARNO","ARNO_03",8.6286,"DBF",16.699,2.83012687275279,3.48750451373663,9.87545890991245,2.33161626078617,1.62662413468112,4,40
"19","ARNO","ARNO_04",10.500275,"DBF",23.279,6.44027078033464,4.88685420804028,12.093392395718,2.57177457098106,1.6224704274653,4.625,40
"20","ARNO","ARNO_04",8.8367,"DBF",21.36,11.2796915642262,4.79514962842395,8.38262699128344,2.37486856348265,1.48824223918931,5.375,40
"21","ARNO","ARNO_04",10.47915,"DBF",19.704,7.17911974715226,4.52480845635113,11.1851085832472,2.56362120675411,1.77449786629047,4.825,40
"22","ARNO","ARNO_04",11.110175,"DBF",25.726,20.0393239210267,8.02016643758335,13.3953488372093,2.60902176156359,1.32558475874652,6.225,40
"23","ARNO","ARNO_04",10.889425,"DBF",24.264,20.6200678097818,7.3172800638415,13.9390420899855,2.6065934147622,1.35749600121712,5.475,40
