,plotID,pft,good.pft,BDF,ENF,
1,BART_33,DBF,DBF,0.986112043,0.013887957,-
2,BART_34,DBF,MF,0.697379904,0.302620096,OFF!
3,BART_36,DBF,DBF,0.855868618,0.144131382,-
4,BART_37,DBF,DBF,0.946402144,0.053597856,-
5,BART_39,DBF,MF,0.595826777,0.404173223,OFF!
6,BART_40,DBF,DBF,0.982075823,0.017924177,-
7,BART_41,DBF,DBF,0.91026668,0.08973332,-
8,BART_44,DBF,DBF,0.725470757,0.274529243,-
9,BART_46,DBF,DBF,0.943693211,0.056306789,-
10,BART_47,DBF,DBF,0.968288594,0.031711406,-
11,BART_50,DBF,MF,0.482654071,0.517345929,OFF!
12,BART_51,DBF,MF,0.382183099,0.617816901,OFF!
13,BART_72,DBF,MF,0.6131243,0.3868757,OFF!
14,BART_73,DBF,DBF,0.781432744,0.218567256,-
15,BART_74,DBF,DBF,0.775636607,0.224363393,-
16,GRSM_50,DBF,DBF,0.993809018,NA,-
17,GRSM_53,DBF,DBF,0.99988062,NA,-
18,GRSM_55,DBF,DBF,0.999858589,NA,-
19,GRSM_57,DBF,DBF,0.991042148,0.00299274,-
20,GRSM_58,DBF,DBF,0.996520612,3.33E-05,-
21,GRSM_60,DBF,DBF,0.961554597,0.023384854,-
22,GRSM_61,DBF,DBF,0.793803752,0.118492375,-
23,GRSM_64,DBF,DBF,0.963672673,0.032626888,-
24,GRSM_65,DBF,DBF,0.847422964,0.096057465,-
25,GRSM_66,DBF,DBF,0.991794406,NA,-
26,HARV_33,MF,MF,0.684105,0.315895,-
27,HARV_34,MF,ENF,0.144794416,0.855205584,OFF!
28,HARV_35,MF,MF,0.424797284,0.575202716,-
29,HARV_36,MF,DBF,0.977126483,0.022873517,OFF!
30,HARV_37,MF,ENF,0.233168106,0.766831894,OFF!
31,HARV_38,MF,MF,0.532839857,0.467135014,-
32,HARV_39,MF,DBF,0.804185174,0.195814826,OFF!
33,HARV_40,MF,DBF,0.766704381,0.226628654,OFF!
34,HARV_41,MF,ENF,0.280851599,0.714140736,OFF!
35,HARV_42,MF,MF,0.640918125,0.359067272,-
36,HARV_43,MF,MF,0.400100069,0.599899931,-
37,HARV_44,MF,DBF,0.889024848,0.101439484,OFF!
38,HARV_45,MF,DBF,0.901676294,0.098323706,OFF!
39,HARV_47,MF,DBF,0.972113114,0.027615828,OFF!
40,HARV_48,MF,MF,0.31078669,0.689204392,-
41,HARV_49,MF,ENF,0.276222175,0.723754908,OFF!
42,HARV_50,MF,MF,0.625802439,0.37388523,-
43,HARV_51,MF,DBF,0.753679788,0.243695701,OFF!
44,HARV_52,MF,MF,0.523085254,0.476914746,-
45,MLBS_62,DBF,MF,0.609280603,0.18402126,OFF!
46,MLBS_64,DBF,DBF,0.932065919,NA,-
47,MLBS_65,DBF,DBF,0.950920685,0.024014258,-
48,MLBS_69,DBF,DBF,0.945589108,NA,-
49,MLBS_71,DBF,DBF,0.839058773,0.152670848,-
50,MLBS_72,DBF,DBF,0.793624576,0.036205672,-
51,MLBS_74,DBF,DBF,0.985275131,NA,-
52,MLBS_75,DBF,DBF,0.944064018,0.000150239,-
53,MLBS_76,DBF,DBF,0.863016946,NA,-
54,OSBS_25,ENF,MF,0.412765463,0.587234537,OFF!
55,OSBS_26,ENF,ENF,0.196876738,0.803123262,-
56,OSBS_27,ENF,MF,0.3612011,0.6387989,OFF!
57,OSBS_28,ENF,ENF,0.015075226,0.984924774,-
58,OSBS_29,ENF,DBF,0.826088618,0.173911382,OFF!
59,OSBS_30,ENF,ENF,NA,1,-
60,OSBS_31,ENF,MF,0.397778493,0.602221507,OFF!
61,OSBS_32,ENF,MF,0.596511682,0.403488318,OFF!
62,OSBS_33,ENF,ENF,0.240075979,0.759924021,-
63,OSBS_34,ENF,ENF,0.011127567,0.988872433,-
64,OSBS_35,ENF,ENF,0.002046384,0.997953616,-
65,OSBS_36,ENF,ENF,0.089065345,0.910934655,-
