"","siteID","plotID","BDF","ENF","unknown","BEF","pft"
"1","ABBY","ABBY_001",0.978891278121094,0.0177715117691987,0.00333721010970698,NA,"BDF"
"2","ABBY","ABBY_002",1,NA,NA,NA,"BDF"
"3","ABBY","ABBY_003",0.99523234184587,0.00293795525268154,0.00182970290144812,NA,"BDF"
"4","ABBY","ABBY_004",1,NA,NA,NA,"BDF"
"5","ABBY","ABBY_005",0.667408231368187,0.25064886911383,0.0819428995179829,NA,"MF"
"6","ABBY","ABBY_006",0.999304814498407,NA,0.000695185501592652,NA,"BDF"
"7","ABBY","ABBY_007",0.122402720060446,NA,0.877597279939554,NA,NA
"8","ABBY","ABBY_008",0.996676229036823,NA,0.00332377096317682,NA,"BDF"
"9","ABBY","ABBY_009",1,NA,NA,NA,"BDF"
"10","ABBY","ABBY_010",0.999914465167166,5.04795734756483e-05,3.50552593580891e-05,NA,"BDF"
"11","ABBY","ABBY_011",0.85236958745312,NA,0.14763041254688,NA,"BDF"
"12","ABBY","ABBY_012",1,NA,NA,NA,"BDF"
"13","ABBY","ABBY_013",1,NA,NA,NA,"BDF"
"14","ABBY","ABBY_014",0.999761748533949,NA,0.00023825146605142,NA,"BDF"
"15","ABBY","ABBY_016",0.998758859431855,0.000781363208874013,0.00045977735927132,NA,"BDF"
"16","ABBY","ABBY_017",0.873967972179327,0.122481487336,0.00355054048467309,NA,"BDF"
"17","ABBY","ABBY_019",1,NA,NA,NA,"BDF"
"18","ABBY","ABBY_023",0.665478380590373,0.333994287636814,0.000527331772813065,NA,"MF"
"19","ABBY","ABBY_025",0.985902154639729,NA,0.0140978453602708,NA,"BDF"
"20","ABBY","ABBY_061",0.995406593790898,NA,0.00459340620910154,NA,"BDF"
"21","ABBY","ABBY_062",0.997060481228778,NA,0.00293951877122158,NA,"BDF"
"22","ABBY","ABBY_063",0.997665205218953,NA,0.00233479478104696,NA,"BDF"
"23","ABBY","ABBY_064",0.945356692594971,NA,0.0546433074050287,NA,"BDF"
"24","ABBY","ABBY_065",0.984787932097685,NA,0.0152120679023152,NA,"BDF"
"25","ABBY","ABBY_067",1,NA,NA,NA,"BDF"
"26","ABBY","ABBY_068",0.999966395003878,NA,3.36049961219834e-05,NA,"BDF"
"27","ABBY","ABBY_069",0.990887443579628,0.0078496878368933,0.00126286858347846,NA,"BDF"
"28","ABBY","ABBY_070",0.983464190012781,NA,0.0165358099872187,NA,"BDF"
"29","ABBY","ABBY_073",0.999740858656907,NA,0.000259141343092561,NA,"BDF"
"30","ABBY","ABBY_074",0.999860409699679,NA,0.000139590300321015,NA,"BDF"
"31","ABBY","ABBY_075",0.998952761175556,NA,0.00104723882444386,NA,"BDF"
"32","ABBY","ABBY_076",0.978574228106084,NA,0.0214257718939163,NA,"BDF"
"33","BART","BART_032",0.769909778685705,0.230090221314295,NA,NA,"BDF"
"34","BART","BART_033",0.986112042710924,0.0138879572890765,NA,NA,"BDF"
"35","BART","BART_034",0.697379903998826,0.302620096001174,NA,NA,"MF"
"36","BART","BART_036",0.855868617868152,0.144131382131849,NA,NA,"BDF"
"37","BART","BART_037",0.946402144456764,0.0535978555432356,NA,NA,"BDF"
"38","BART","BART_039",0.59582677746746,0.40417322253254,NA,NA,"MF"
"39","BART","BART_040",0.98207582290512,0.0179241770948798,NA,NA,"BDF"
"40","BART","BART_041",0.910266680324818,0.0897333196751816,NA,NA,"BDF"
"41","BART","BART_042",0.733045901877142,0.266954098122858,NA,NA,"BDF"
"42","BART","BART_044",0.725470756704435,0.274529243295565,NA,NA,"BDF"
"43","BART","BART_046",0.943693210536926,0.0563067894630738,NA,NA,"BDF"
"44","BART","BART_047",0.96828859383671,0.0317114061632896,NA,NA,"BDF"
"45","BART","BART_050",0.482654071025186,0.517345928974814,NA,NA,"MF"
"46","BART","BART_051",0.382183099133585,0.617816900866415,NA,NA,"MF"
"47","BART","BART_070",0.492522018460552,0.507477981539448,NA,NA,"MF"
"48","BART","BART_071",0.749075589841957,0.250924410158043,NA,NA,"BDF"
"49","BART","BART_072",0.613124300122826,0.386875699877174,NA,NA,"MF"
"50","BART","BART_073",0.781432744191332,0.218567255808668,NA,NA,"BDF"
"51","BART","BART_074",0.775636607215904,0.224363392784096,NA,NA,"BDF"
"52","BART","BART_075",0.483885427751422,0.516114572248578,NA,NA,"MF"
"53","BLAN","BLAN_001",0.978378039479386,NA,0.0216219605206137,NA,"BDF"
"54","BLAN","BLAN_005",0.976440388052735,NA,0.0235596119472646,NA,"BDF"
"55","BLAN","BLAN_007",0.99926267933631,NA,0.000737320663689739,NA,"BDF"
"56","BLAN","BLAN_009",0.976741157875466,NA,0.0232588421245336,NA,"BDF"
"57","BLAN","BLAN_011",0.999250378396364,NA,0.000749621603635665,NA,"BDF"
"58","BLAN","BLAN_012",0.959987088544282,NA,0.0400129114557182,NA,"BDF"
